trial,angle_A,angle_B,outcome_A,outcome_B
76,45.0,22.5,1,-1
77,45.0,22.5,-1,1
78,0.0,67.5,-1,0
79,0.0,22.5,1,-1
80,0.0,67.5,0,-1
81,0.0,67.5,1,1
82,45.0,22.5,-1,-1
83,45.0,22.5,-1,-1
84,45.0,67.5,-1,1
85,0.0,67.5,1,-1
86,0.0,67.5,1,-1
87,45.0,67.5,1,1
88,45.0,67.5,1,-1
89,0.0,22.5,1,-1
90,0.0,22.5,-1,1
91,0.0,67.5,1,1
92,45.0,22.5,1,-1
93,0.0,67.5,-1,1
94,0.0,22.5,-1,1
95,45.0,67.5,-1,-1
96,45.0,22.5,-1,1
97,45.0,22.5,1,-1
98,0.0,22.5,1,-1
99,0.0,67.5,-1,1
100,45.0,67.5,-1,1
101,45.0,67.5,1,-1
102,45.0,22.5,-1,1
103,45.0,22.5,1,0
104,0.0,67.5,1,-1
105,0.0,22.5,-1,-1
106,0.0,22.5,1,-1
107,45.0,67.5,-1,1
108,0.0,22.5,-1,1
109,0.0,67.5,-1,1
110,45.0,67.5,1,1
111,45.0,22.5,-1,1
112,45.0,22.5,-1,1
113,45.0,67.5,-1,1
114,45.0,67.5,1,-1
115,45.0,67.5,-1,-1
116,45.0,67.5,-1,1
117,0.0,22.5,-1,1
118,45.0,67.5,1,-1
119,0.0,22.5,-1,1
120,0.0,67.5,-1,-1
121,0.0,67.5,1,-1
122,45.0,22.5,-1,1
123,0.0,67.5,1,-1
124,0.0,67.5,1,1
125,45.0,22.5,1,-1
126,0.0,67.5,1,1
127,45.0,67.5,1,-1
128,0.0,22.5,-1,1
129,45.0,67.5,-1,1
130,0.0,67.5,1,1
131,45.0,67.5,1,-1
132,0.0,22.5,-1,1
133,0.0,67.5,-1,1
134,45.0,67.5,1,-1
135,45.0,22.5,1,-1
136,45.0,22.5,1,1
137,0.0,22.5,-1,1
138,0.0,67.5,1,-1
139,45.0,67.5,1,-1
140,45.0,67.5,1,-1
141,45.0,67.5,-1,1
142,0.0,67.5,-1,-1
143,0.0,22.5,-1,-1
144,45.0,67.5,-1,1
145,0.0,22.5,1,-1
146,45.0,22.5,1,-1
147,0.0,67.5,1,1
148,45.0,67.5,1,-1
149,0.0,22.5,1,-1
150,45.0,22.5,-1,-1
151,45.0,67.5,1,-1
152,45.0,67.5,-1,1
153,0.0,67.5,1,-1
154,45.0,22.5,1,1
155,0.0,67.5,1,1
156,45.0,67.5,1,-1
157,0.0,22.5,1,1
158,45.0,22.5,-1,1
159,0.0,22.5,-1,1
160,0.0,67.5,-1,1
161,45.0,67.5,-1,1
162,0.0,22.5,-1,1
163,0.0,67.5,1,-1
164,45.0,67.5,-1,1
165,45.0,22.5,1,-1
166,0.0,67.5,-1,-1
167,45.0,22.5,-1,-1
168,45.0,67.5,1,1
169,0.0,22.5,1,-1
170,0.0,67.5,-1,1
171,0.0,22.5,1,0
172,0.0,22.5,1,-1
173,45.0,67.5,-1,1
174,45.0,67.5,1,-1
175,45.0,22.5,-1,1
176,0.0,67.5,-1,1
177,45.0,22.5,1,-1
178,0.0,22.5,1,-1
179,45.0,22.5,-1,1
180,0.0,67.5,1,-1
181,0.0,67.5,-1,1
182,45.0,22.5,-1,1
183,45.0,67.5,1,-1
184,45.0,22.5,-1,1
185,45.0,67.5,1,0
186,0.0,22.5,-1,1
187,0.0,22.5,-1,0
188,0.0,67.5,1,1
189,45.0,67.5,1,1
190,0.0,67.5,1,1
191,0.0,67.5,1,-1
192,0.0,67.5,0,1
193,45.0,22.5,-1,1
194,45.0,22.5,-1,-1
195,0.0,67.5,1,1
196,0.0,22.5,-1,1
197,0.0,67.5,-1,-1
198,45.0,22.5,-1,1
199,0.0,67.5,1,0
200,0.0,22.5,-1,1
201,0.0,67.5,-1,1
202,0.0,22.5,1,-1
203,0.0,22.5,-1,1
204,0.0,22.5,1,-1
205,45.0,22.5,-1,1
206,45.0,67.5,0,-1
207,0.0,22.5,1,-1
208,45.0,22.5,1,1
209,45.0,67.5,1,-1
210,0.0,67.5,-1,1
211,45.0,22.5,1,-1
212,45.0,22.5,-1,1
213,0.0,22.5,1,-1
214,0.0,67.5,1,1
215,45.0,67.5,1,-1
216,0.0,67.5,1,1
217,45.0,67.5,-1,1
218,0.0,67.5,-1,1
219,45.0,67.5,1,1
220,45.0,67.5,-1,1
221,0.0,67.5,-1,1
222,45.0,22.5,-1,-1
223,45.0,67.5,-1,1
224,0.0,22.5,1,-1
225,45.0,22.5,-1,1
226,0.0,22.5,-1,1
227,45.0,67.5,1,-1
228,45.0,67.5,-1,1
229,45.0,67.5,-1,1
230,0.0,22.5,1,-1
231,45.0,67.5,1,-1
232,45.0,67.5,-1,1
233,0.0,67.5,1,-1
234,0.0,22.5,-1,1
235,0.0,22.5,1,-1
236,0.0,67.5,-1,1
237,45.0,22.5,-1,1
238,0.0,67.5,-1,1
239,0.0,22.5,-1,1
240,0.0,22.5,-1,0
241,45.0,22.5,0,-1
242,45.0,67.5,1,-1
243,45.0,22.5,-1,1
244,45.0,22.5,1,-1
245,0.0,67.5,-1,1
246,45.0,67.5,1,1
247,45.0,22.5,1,-1
248,0.0,22.5,-1,-1
249,0.0,67.5,1,1
250,0.0,67.5,-1,1
251,0.0,22.5,1,-1
252,45.0,22.5,-1,1
253,45.0,22.5,-1,1
254,0.0,67.5,-1,-1
255,45.0,22.5,1,1
256,45.0,67.5,1,1
257,45.0,22.5,-1,0
258,45.0,67.5,1,-1
259,0.0,22.5,1,-1
260,0.0,22.5,-1,1
261,0.0,22.5,0,1
262,0.0,22.5,-1,-1
263,0.0,22.5,1,1
264,0.0,67.5,-1,1
265,45.0,67.5,1,-1
266,45.0,67.5,1,-1
267,0.0,22.5,1,-1
268,0.0,22.5,1,-1
269,0.0,22.5,1,-1
270,45.0,67.5,-1,1
271,45.0,22.5,1,-1
272,45.0,22.5,1,-1
273,0.0,67.5,1,-1
274,0.0,22.5,1,-1
275,45.0,67.5,1,1
276,0.0,67.5,-1,-1
277,45.0,22.5,-1,1
278,45.0,67.5,1,-1
279,0.0,22.5,-1,1
280,45.0,67.5,1,-1
281,45.0,22.5,1,-1
282,0.0,22.5,1,-1
283,45.0,67.5,-1,1
284,45.0,22.5,1,-1
285,45.0,67.5,1,-1
286,0.0,67.5,1,1
287,0.0,22.5,1,0
288,0.0,22.5,1,-1
289,45.0,67.5,-1,1
290,45.0,22.5,1,-1
291,0.0,67.5,0,1
292,45.0,67.5,-1,1
293,45.0,22.5,-1,1
294,0.0,22.5,-1,-1
295,45.0,67.5,-1,1
296,45.0,22.5,-1,-1
297,0.0,67.5,0,1
298,0.0,67.5,-1,-1
299,0.0,67.5,-1,-1
300,0.0,22.5,-1,1
301,0.0,67.5,-1,1
302,0.0,67.5,1,1
303,0.0,22.5,-1,1
304,0.0,67.5,1,-1
305,0.0,67.5,-1,1
306,0.0,67.5,1,0
307,0.0,22.5,1,1
308,0.0,22.5,-1,1
309,45.0,22.5,1,-1
310,0.0,67.5,1,-1
311,45.0,67.5,-1,1
312,0.0,22.5,-1,1
313,0.0,67.5,1,1
314,0.0,67.5,1,-1
315,0.0,22.5,1,-1
316,0.0,67.5,1,-1
317,0.0,22.5,1,1
318,45.0,22.5,1,1
319,45.0,22.5,-1,-1
320,0.0,67.5,1,-1
321,0.0,67.5,0,-1
322,45.0,67.5,1,1
323,0.0,67.5,1,-1
324,0.0,67.5,-1,-1
325,45.0,22.5,-1,1
326,0.0,22.5,-1,1
327,45.0,22.5,1,-1
328,45.0,22.5,-1,1
329,45.0,22.5,-1,1
330,45.0,67.5,1,1
331,0.0,22.5,1,0
332,45.0,22.5,-1,1
333,45.0,67.5,1,-1
334,0.0,67.5,-1,1
335,0.0,67.5,-1,1
336,45.0,67.5,1,-1
337,45.0,22.5,-1,1
338,45.0,22.5,-1,1
339,0.0,22.5,1,1
340,45.0,22.5,-1,1
341,0.0,22.5,1,-1
342,0.0,22.5,-1,1
343,45.0,22.5,-1,1
344,45.0,22.5,-1,1
345,45.0,67.5,-1,1
346,0.0,67.5,-1,-1
347,0.0,22.5,-1,-1
348,0.0,67.5,1,1
349,0.0,67.5,-1,1
350,0.0,22.5,-1,1
351,45.0,67.5,-1,1
352,45.0,67.5,1,1
353,45.0,22.5,-1,1
354,0.0,67.5,1,1
355,0.0,67.5,-1,-1
356,45.0,67.5,-1,-1
357,45.0,22.5,1,1
358,45.0,22.5,-1,1
359,45.0,22.5,-1,1
360,0.0,67.5,-1,-1
361,45.0,67.5,-1,1
362,0.0,22.5,1,-1
363,45.0,22.5,-1,1
364,45.0,67.5,-1,1
365,45.0,22.5,1,1
366,45.0,22.5,1,1
367,45.0,22.5,-1,-1
368,45.0,67.5,-1,1
369,45.0,22.5,1,-1
370,45.0,22.5,-1,1
371,45.0,67.5,-1,1
372,45.0,22.5,-1,1
373,45.0,67.5,-1,1
374,0.0,22.5,1,-1
375,45.0,22.5,1,-1
376,45.0,67.5,1,-1
377,0.0,22.5,1,-1
378,0.0,67.5,1,-1
379,0.0,22.5,1,-1
380,45.0,22.5,-1,-1
381,45.0,67.5,-1,-1
382,45.0,67.5,1,-1
383,0.0,22.5,-1,1
384,0.0,67.5,-1,-1
385,0.0,22.5,-1,1
386,0.0,22.5,-1,1
387,45.0,67.5,-1,-1
388,0.0,22.5,0,1
389,45.0,22.5,-1,1
390,0.0,22.5,-1,1
391,45.0,67.5,1,-1
392,45.0,67.5,1,-1
393,0.0,22.5,1,1
394,45.0,67.5,1,-1
395,45.0,22.5,1,-1
396,0.0,22.5,1,1
397,45.0,22.5,-1,1
398,45.0,22.5,1,1
399,0.0,22.5,-1,1
400,0.0,22.5,-1,-1
401,0.0,22.5,-1,1
402,0.0,22.5,1,1
403,45.0,22.5,1,-1
404,45.0,22.5,-1,1
405,45.0,67.5,1,-1
406,45.0,22.5,-1,1
407,0.0,22.5,0,-1
408,45.0,22.5,-1,-1
409,0.0,67.5,-1,-1
410,45.0,22.5,-1,1
411,0.0,22.5,1,-1
412,45.0,67.5,-1,1
413,45.0,22.5,-1,1
414,0.0,22.5,1,-1
415,0.0,22.5,-1,1
416,45.0,22.5,-1,1
417,0.0,22.5,1,-1
418,45.0,22.5,-1,1
419,45.0,22.5,1,-1
420,0.0,22.5,-1,1
421,0.0,22.5,-1,1
422,45.0,22.5,1,-1
423,0.0,67.5,1,1
424,0.0,67.5,1,-1
425,0.0,22.5,1,-1
426,0.0,67.5,1,-1
427,0.0,22.5,1,-1
428,0.0,22.5,-1,-1
429,0.0,67.5,-1,-1
430,0.0,22.5,-1,1
431,0.0,67.5,-1,1
432,45.0,67.5,1,-1
433,0.0,22.5,1,-1
434,45.0,22.5,-1,1
435,0.0,22.5,-1,1
436,0.0,22.5,1,-1
437,0.0,22.5,1,1
438,0.0,22.5,0,-1
439,0.0,67.5,1,0
440,45.0,67.5,1,-1
441,45.0,22.5,1,1
442,0.0,22.5,-1,1
443,0.0,22.5,-1,1
444,45.0,22.5,-1,-1
445,45.0,22.5,1,-1
446,0.0,67.5,-1,1
447,0.0,67.5,1,1
448,0.0,67.5,0,-1
449,45.0,22.5,0,0
450,0.0,22.5,-1,-1
451,45.0,67.5,-1,-1
452,0.0,67.5,1,1
453,0.0,67.5,-1,-1
454,0.0,67.5,1,1
455,45.0,22.5,-1,1
456,0.0,67.5,1,1
457,0.0,67.5,1,-1
458,45.0,67.5,1,1
459,0.0,22.5,1,-1
460,0.0,22.5,1,-1
461,45.0,67.5,1,1
462,45.0,22.5,-1,1
463,45.0,67.5,1,1
464,45.0,22.5,-1,-1
465,0.0,22.5,1,1
466,0.0,22.5,-1,1
467,45.0,67.5,1,-1
468,45.0,67.5,1,-1
469,45.0,67.5,-1,1
470,45.0,67.5,-1,-1
471,0.0,67.5,1,-1
472,0.0,67.5,-1,1
473,0.0,22.5,1,-1
474,0.0,67.5,1,1
475,0.0,67.5,-1,1
476,45.0,22.5,-1,-1
477,45.0,22.5,-1,1
478,45.0,22.5,-1,-1
479,0.0,22.5,1,-1
480,0.0,22.5,1,1
